QUERY 	 DOCUMENT 	 RANK 		 RELEVANCY 	
359 	FT911-4650		1	32.176491854911326%
359 	FT911-2712		2	19.057015080224826%
359 	FT911-428		3	18.685049851420693%
359 	FT911-4645		4	17.2596487000724%
359 	FT911-391		5	16.832875861888454%
359 	FT911-4641		6	16.67400862200866%
359 	FT911-1897		7	16.551361810309935%
359 	FT911-4652		8	15.110717697548726%
359 	FT911-2520		9	14.076299418530347%
359 	FT911-2711		10	13.404124886070662%

**********************************************
354 	FT911-4783		1	31.46200233866384%
354 	FT911-885		2	22.68582030225969%
354 	FT911-4633		3	20.031224151248722%
354 	FT911-1293		4	18.992333901881757%
354 	FT911-230		5	18.621921929404383%
354 	FT911-3514		6	18.346391669645364%
354 	FT911-2786		7	17.65690739570648%
354 	FT911-4080		8	17.415812626281202%
354 	FT911-1702		9	16.51189015651101%
354 	FT911-1288		10	16.480543266895026%

**********************************************
353 	FT911-122		1	43.631677727803336%
353 	FT911-1769		2	35.22883250868609%
353 	FT911-558		3	34.084348934024156%
353 	FT911-4151		4	21.49990677150221%
353 	FT911-4348		5	21.00086304584886%
353 	FT911-4349		6	19.313323069534217%
353 	FT911-4261		7	17.12086936924169%
353 	FT911-4931		8	15.933327090071584%
353 	FT911-1562		9	11.753421877427915%
353 	FT911-826		10	10.964244576973396%

**********************************************
352 	FT911-91		1	14.656254360897922%
352 	FT911-5193		2	13.522320796338871%
352 	FT911-3246		3	12.978916347569596%
352 	FT911-2714		4	12.654292189961575%
352 	FT911-4701		5	11.135049410929472%
352 	FT911-5307		6	11.072864651179849%
352 	FT911-437		7	10.677809306106091%
352 	FT911-1174		8	10.561578022575144%
352 	FT911-610		9	10.410781724267885%
352 	FT911-3866		10	10.400963406216167%

**********************************************
