QUERY 	 DOCUMENT 	 RANK 		 RELEVANCY 	
359 	FT911-4650		1	35.476259011287674%
359 	FT911-1897		2	22.309800855347817%
359 	FT911-391		3	20.05163775591047%
359 	FT911-2712		4	20.03768335736877%
359 	FT911-4652		5	18.548440809819343%
359 	FT911-4645		6	18.178028201399023%
359 	FT911-3000		7	17.871475454289325%
359 	FT911-2520		8	15.824584471583918%
359 	FT911-515		9	15.156071713992667%
359 	FT911-5244		10	14.227823487797856%
359 	FT911-4656		11	13.559204796359003%
359 	FT911-4641		12	13.559073029470737%
359 	FT911-1282		13	12.488295797975791%
359 	FT911-1517		14	12.414833885597396%
359 	FT911-2983		15	12.384693072500246%
359 	FT911-2342		16	11.962716459165742%
359 	FT911-4642		17	11.31596715411236%
359 	FT911-4646		18	11.191069862063733%
359 	FT911-2711		19	11.092346847053387%
359 	FT911-4264		20	10.98725781785851%
359 	FT911-4647		21	10.758990951478305%
359 	FT911-4648		22	10.692945239791296%
359 	FT911-4644		23	10.577446008789307%
359 	FT911-3242		24	10.44356719815931%
359 	FT911-3979		25	10.434845601916882%
359 	FT911-2452		26	10.42748177038031%
359 	FT911-3149		27	10.422108454327821%
359 	FT911-4649		28	10.320383343582908%
359 	FT911-4654		29	10.223604755770072%
359 	FT911-1899		30	10.18343163409687%
359 	FT911-4655		31	9.843653614825941%
359 	FT911-2982		32	9.68373507832879%
359 	FT911-4640		33	9.669477227647363%
359 	FT911-3260		34	9.514761817871328%
359 	FT911-1412		35	9.504353611125522%
359 	FT911-594		36	9.43914984173976%
359 	FT911-2480		37	9.23342511219284%
359 	FT911-5086		38	9.086055120308089%
359 	FT911-5121		39	8.52744794143029%
359 	FT911-4651		40	8.46871067575016%
359 	FT911-2637		41	8.330593706244619%
359 	FT911-2672		42	8.043731382942225%
359 	FT911-934		43	7.42474678517311%
359 	FT911-4679		44	7.26470840628277%
359 	FT911-5150		45	7.215854431386637%
359 	FT911-4643		46	7.156186805303463%
359 	FT911-3276		47	7.116851251843384%
359 	FT911-4206		48	7.058119338737666%
359 	FT911-3283		49	6.980925961881512%
359 	FT911-1719		50	6.950050752291251%
359 	FT911-1230		51	6.914896253433554%
359 	FT911-2998		52	6.909462104538957%
359 	FT911-4784		53	6.84908681136586%
359 	FT911-4095		54	6.810904959687547%
359 	FT911-3546		55	6.487564003708847%
359 	FT911-2596		56	6.411967504737315%
359 	FT911-679		57	6.364129067322743%
359 	FT911-1628		58	6.344203267976171%
359 	FT911-2424		59	6.269092565552005%
359 	FT911-3404		60	6.199226605698713%
359 	FT911-2469		61	6.168494424866508%
359 	FT911-2009		62	6.0542941235236185%
359 	FT911-4368		63	6.049177740145528%
359 	FT911-5157		64	5.99349994064552%
359 	FT911-331		65	5.90697296253533%
359 	FT911-3645		66	5.753422909939791%
359 	FT911-1059		67	5.750912617042497%
359 	FT911-680		68	5.742527125924561%
359 	FT911-428		69	5.609880416749405%
359 	FT911-2046		70	5.553806580120598%
359 	FT911-2063		71	5.531941744472302%
359 	FT911-4653		72	5.489330566301812%
359 	FT911-1645		73	5.37262974969666%
359 	FT911-1446		74	5.298013241644418%
359 	FT911-4202		75	5.095612440168616%
359 	FT911-4589		76	5.0691260820420805%
359 	FT911-3406		77	4.968131837170884%
359 	FT911-2209		78	4.921395492474407%
359 	FT911-4467		79	4.873183584390574%
359 	FT911-3534		80	4.830937938013524%
359 	FT911-4987		81	4.7749571922420735%
359 	FT911-2288		82	4.772634806555482%
359 	FT911-61		83	4.743595716873843%
359 	FT911-3986		84	4.730223538144044%
359 	FT911-4685		85	4.663640669660133%
359 	FT911-511		86	4.6284966491272765%
359 	FT911-1309		87	4.624366564472811%
359 	FT911-4270		88	4.614350994454879%
359 	FT911-4787		89	4.5984135862075215%
359 	FT911-4870		90	4.549641372252056%
359 	FT911-99		91	4.5476555394563665%
359 	FT911-392		92	4.515939531097206%
359 	FT911-4583		93	4.507176192754094%
359 	FT911-2222		94	4.384493768551902%
359 	FT911-5064		95	4.38346959404393%
359 	FT911-3496		96	4.363826425328152%
359 	FT911-1096		97	4.3627334738734795%
359 	FT911-165		98	4.3557869240473694%
359 	FT911-4865		99	4.3345363372015315%
359 	FT911-1521		100	4.3333337718805724%
359 	FT911-5201		101	4.316872474723926%
359 	FT911-2087		102	4.234781127091224%
359 	FT911-4322		103	4.203642096063203%
359 	FT911-3248		104	4.17837181852168%
359 	FT911-2119		105	4.165250665070454%
359 	FT911-3019		106	4.161761959950169%
359 	FT911-1861		107	4.120687153877102%
359 	FT911-2988		108	4.065685814656294%
359 	FT911-5018		109	4.057544686765305%
359 	FT911-2684		110	3.947268039087462%
359 	FT911-2584		111	3.9205919074276276%
359 	FT911-4896		112	3.9108242590369637%
359 	FT911-1242		113	3.8451320552714385%
359 	FT911-2032		114	3.807156602395593%
359 	FT911-198		115	3.786507878525386%
359 	FT911-952		116	3.7761345633362358%
359 	FT911-601		117	3.7461190810090086%
359 	FT911-2459		118	3.7427064904416745%
359 	FT911-533		119	3.74056935114713%
359 	FT911-965		120	3.6946698942159046%
359 	FT911-2175		121	3.688566817895351%
359 	FT911-3258		122	3.676937780961518%
359 	FT911-2762		123	3.655202785521268%
359 	FT911-5039		124	3.6467622044246437%
359 	FT911-1963		125	3.639414853993308%
359 	FT911-4108		126	3.6323938840299967%
359 	FT911-1279		127	3.584688461252594%
359 	FT911-4271		128	3.5568636148271113%
359 	FT911-2994		129	3.5535992104576337%
359 	FT911-2465		130	3.540482666694956%
359 	FT911-407		131	3.5387988308917353%
359 	FT911-204		132	3.5340245335246165%
359 	FT911-4419		133	3.495663436348501%
359 	FT911-1702		134	3.4943733274750794%
359 	FT911-1288		135	3.4877394573405813%
359 	FT911-1587		136	3.4830909148211866%
359 	FT911-376		137	3.4768725557473337%
359 	FT911-4508		138	3.462151291690489%
359 	FT911-2396		139	3.4501444824804177%
359 	FT911-4474		140	3.4305536512633408%
359 	FT911-2100		141	3.4142275596551355%
359 	FT911-3805		142	3.4129196720098323%
359 	FT911-106		143	3.389603513395979%
359 	FT911-1222		144	3.3732610352337997%
359 	FT911-870		145	3.356791232408908%
359 	FT911-4024		146	3.333698316975385%
359 	FT911-1180		147	3.301680843193316%
359 	FT911-4176		148	3.2978033583348045%
359 	FT911-2916		149	3.287952323696376%
359 	FT911-252		150	3.2429945730615715%
359 	FT911-3378		151	3.239150440004504%
359 	FT911-4727		152	3.2320637041480498%
359 	FT911-762		153	3.2230934322266216%
359 	FT911-1019		154	3.2193747941517956%
359 	FT911-2850		155	3.2125841673895774%
359 	FT911-3102		156	3.185737029204034%
359 	FT911-1317		157	3.1813305611673477%
359 	FT911-1972		158	3.175377358344314%
359 	FT911-4588		159	3.1710151429241598%
