QUERY 	 DOCUMENT 	 RANK 		 RELEVANCY 	
359 	FT911-4650		1	33.73024457005436%
359 	FT911-1897		2	18.838805469629307%
359 	FT911-2712		3	17.63236681897921%
359 	FT911-4645		4	17.190412733987888%
359 	FT911-391		5	16.931971086623243%
359 	FT911-4641		6	16.589971803556086%
359 	FT911-4652		7	15.662643985338812%
359 	FT911-3000		8	15.091002009455757%
359 	FT911-2520		9	14.00535502564106%
359 	FT911-4656		10	13.616799062112364%
359 	FT911-2711		11	13.046192458942638%
359 	FT911-515		12	12.798065233971705%
359 	FT911-5244		13	12.014235388326949%
359 	FT911-4654		14	11.326468529933623%
359 	FT911-4648		15	11.157591012101706%
359 	FT911-1282		16	10.545346267797834%
359 	FT911-4655		17	10.489087242546638%
359 	FT911-1517		18	10.483313680160828%
359 	FT911-2983		19	10.457862224170016%
359 	FT911-2342		20	10.101537424012234%
359 	FT911-4642		21	10.091666380236713%
359 	FT911-4649		22	9.815141980457105%
359 	FT911-3242		23	9.657321478975463%
359 	FT911-4644		24	9.600133530675373%
359 	FT911-4640		25	9.474312433143954%
359 	FT911-4646		26	9.449944869315738%
359 	FT911-4647		27	9.444991543617741%
359 	FT911-4264		28	9.277842237022211%
359 	FT911-4206		29	8.826972262738463%
359 	FT911-3979		30	8.811375219111714%
359 	FT911-2452		31	8.805157064555873%
359 	FT911-3149		32	8.800619737822391%
359 	FT911-4590		33	8.74141127483288%
359 	FT911-2982		34	8.600728855051514%
359 	FT911-1899		35	8.599076648505088%
359 	FT911-4651		36	8.527111040281602%
359 	FT911-3260		37	8.034439578324061%
359 	FT911-1412		38	8.025650697444162%
359 	FT911-594		39	7.970591437376831%
359 	FT911-4095		40	7.930134792510354%
359 	FT911-2480		41	7.796873698462209%
359 	FT911-5086		42	7.6724317714733274%
359 	FT911-4643		43	7.496216097183709%
359 	FT911-5121		44	7.20073361311461%
359 	FT911-2637		45	7.034506282508629%
359 	FT911-934		46	6.865773470298928%
359 	FT911-2672		47	6.79227446967%
359 	FT911-1230		48	6.4855974709463915%
359 	FT911-1061		49	6.415410659423548%
359 	FT911-4679		50	6.134453164638442%
359 	FT911-5150		51	6.093199971234622%
359 	FT911-3276		52	6.0095998686437%
359 	FT911-2991		53	5.955595191339348%
359 	FT911-3283		54	5.894822058093192%
