QUERY 	 DOCUMENT 	 RANK 		 RELEVANCY 	
359 	FT911-4650		1	32.176491854911326%
359 	FT911-2712		2	19.057015080224826%
359 	FT911-428		3	18.685049851420693%
359 	FT911-4645		4	17.2596487000724%
359 	FT911-391		5	16.832875861888454%
359 	FT911-4641		6	16.67400862200866%
359 	FT911-1897		7	16.551361810309935%
359 	FT911-4652		8	15.110717697548726%
359 	FT911-2520		9	14.076299418530347%
359 	FT911-2711		10	13.404124886070662%
359 	FT911-4656		11	13.113222688725745%
359 	FT911-515		12	12.862894077404757%
359 	FT911-4655		13	12.740509145344253%
359 	FT911-3000		14	12.718004598835437%
359 	FT911-4640		15	12.073517430074283%
359 	FT911-4648		16	11.89910156024754%
359 	FT911-1899		17	11.517090788463587%
359 	FT911-3973		18	11.442012129801672%
359 	FT911-2046		19	11.294057613061323%
359 	FT911-2342		20	11.23183838683643%
359 	FT911-2983		21	11.109155955521954%
359 	FT911-4649		22	10.986688215778123%
359 	FT911-4654		23	10.889599222163742%
359 	FT911-1517		24	10.69990238318619%
359 	FT911-4644		25	10.352949278176501%
359 	FT911-4647		26	10.167649323650108%
359 	FT911-4642		27	10.14278590867968%
359 	FT911-5244		28	10.053476088273273%
359 	FT911-4646		29	9.577639209637452%
359 	FT911-3917		30	9.459870136792967%
359 	FT911-548		31	9.403491488442919%
359 	FT911-4651		32	9.215291926044179%
359 	FT911-4679		33	9.092426994362608%
359 	FT911-5129		34	9.064474208123139%
359 	FT911-1265		35	8.928739136369698%
359 	FT911-4283		36	8.883159237264515%
359 	FT911-4206		37	8.87168545901832%
359 	FT911-3979		38	8.856009408269726%
359 	FT911-2982		39	8.644296011036483%
359 	FT911-4575		40	8.485187892336025%
359 	FT911-594		41	8.403934452277815%
359 	FT911-2469		42	8.3523506658782%
359 	FT911-5231		43	8.194730786240537%
359 	FT911-4264		44	8.151308952761939%
359 	FT911-3260		45	8.075138185181672%
359 	FT911-4569		46	8.071118131554087%
359 	FT911-1412		47	8.066304784058119%
359 	FT911-1211		48	8.038128677420309%
359 	FT911-4643		49	7.978690458707029%
359 	FT911-1282		50	7.94907294027036%
359 	FT911-314		51	7.85532237250187%
359 	FT911-3242		52	7.803266450891883%
359 	FT911-2465		53	7.758381618397474%
359 	FT911-4024		54	7.684572387393322%
359 	FT911-2087		55	7.6051529816406%
359 	FT911-4095		56	7.5704865827691314%
359 	FT911-1369		57	7.490606705859354%
359 	FT911-90		58	7.446502500121695%
359 	FT911-3149		59	7.364332164004997%
359 	FT911-5051		60	7.250240524554756%
359 	FT911-2997		61	7.172282366303036%
359 	FT911-1242		62	7.148193415082306%
359 	FT911-2222		63	6.990103694320118%
359 	FT911-4856		64	6.963912617041926%
359 	FT911-2017		65	6.8504246471208035%
359 	FT911-2276		66	6.8401381426090895%
359 	FT911-2672		67	6.826680865488307%
359 	FT911-2452		68	6.786407718277062%
359 	FT911-5086		69	6.754122675444451%
359 	FT911-4488		70	6.615214441477978%
359 	FT911-1082		71	6.505489903944054%
359 	FT911-2637		72	6.49631756996477%
359 	FT911-618		73	6.441095345995968%
359 	FT911-1819		74	6.43257310150322%
359 	FT911-3276		75	6.422240218058437%
359 	FT911-4959		76	6.345865253292722%
359 	FT911-5238		77	6.3417339013635745%
359 	FT911-5120		78	6.328381059547385%
359 	FT911-3494		79	6.326451283506232%
359 	FT911-202		80	6.245718337547013%
359 	FT911-4837		81	6.210785653393284%
359 	FT911-934		82	6.209653622434405%
359 	FT911-721		83	6.170701776867163%
359 	FT911-1995		84	6.157593512991747%
359 	FT911-5150		85	6.124065191853508%
359 	FT911-3094		86	6.06846506863367%
359 	FT911-2923		87	6.066409202386294%
359 	FT911-595		88	6.034165516532038%
359 	FT911-341		89	6.005984047406493%
359 	FT911-4653		90	5.948130401045955%
359 	FT911-3283		91	5.92468239161106%
359 	FT911-2480		92	5.877276683119708%
359 	FT911-2998		93	5.8640313175922305%
359 	FT911-4784		94	5.812791061170059%
359 	FT911-4787		95	5.796815956397912%
359 	FT911-679		96	5.708668104738567%
359 	FT911-3643		97	5.685171110975295%
359 	FT911-5121		98	5.683380321837782%
359 	FT911-3645		99	5.679270860302825%
359 	FT911-4270		100	5.674409164939659%
359 	FT911-3235		101	5.647623681468637%
359 	FT911-3191		102	5.643512083224866%
359 	FT911-1294		103	5.60444806365291%
359 	FT911-3013		104	5.51650095264738%
359 	FT911-4200		105	5.454740481457863%
359 	FT911-2596		106	5.441809751075005%
359 	FT911-5018		107	5.3652394446066785%
359 	FT911-830		108	5.359795635553074%
359 	FT911-559		109	5.3451309271425025%
359 	FT911-4319		110	5.344817941674103%
359 	FT911-4176		111	5.333941711255086%
359 	FT911-2424		112	5.320552393381218%
359 	FT911-392		113	5.311907502155954%
359 	FT911-2219		114	5.311633713186293%
359 	FT911-2644		115	5.281870971409513%
359 	FT911-965		116	5.247348226305494%
359 	FT911-4722		117	5.166246102009112%
359 	FT911-4288		118	5.155922877933579%
359 	FT911-1542		119	5.134437324938448%
359 	FT911-5157		120	5.086658096126525%
359 	FT911-1230		121	5.051289574376717%
359 	FT911-4976		122	5.037271395664731%
359 	FT911-1645		123	5.0196012853567495%
359 	FT911-331		124	5.0132230151060435%
359 	FT911-4636		125	5.0113599228877215%
359 	FT911-3153		126	5.0057528771183195%
359 	FT911-2343		127	4.957829679178034%
359 	FT911-318		128	4.912152918890684%
359 	FT911-3701		129	4.90563739430054%
359 	FT911-2209		130	4.884290664087889%
359 	FT911-1059		131	4.880775258745521%
359 	FT911-4574		132	4.824806063389695%
359 	FT911-1529		133	4.801930627926247%
359 	FT911-1673		134	4.7933873727626395%
359 	FT911-315		135	4.78710740406031%
359 	FT911-5293		136	4.783407757687605%
359 	FT911-5059		137	4.748220742943964%
359 	FT911-2991		138	4.741147415363084%
359 	FT911-2689		139	4.722006682497025%
359 	FT911-2117		140	4.697345052936777%
359 	FT911-3404		141	4.6771983240127035%
359 	FT911-1944		142	4.649237908072965%
359 	FT911-1729		143	4.6294888910617855%
359 	FT911-3945		144	4.61044736536471%
359 	FT911-942		145	4.511397970491505%
359 	FT911-1446		146	4.49640147090643%
359 	FT911-4368		147	4.4784655479215765%
359 	FT911-2994		148	4.449714791865212%
359 	FT911-3473		149	4.4457148333751055%
359 	FT911-1312		150	4.439593271139261%
359 	FT911-1572		151	4.438966879718597%
359 	FT911-1719		152	4.42385904868612%
359 	FT911-4590		153	4.392845530148655%
359 	FT911-4026		154	4.370835338251711%
359 	FT911-5178		155	4.366360007225034%
359 	FT911-4685		156	4.357198949209134%
359 	FT911-4862		157	4.343726990200373%
359 	FT911-2116		158	4.3387296573029825%
359 	FT911-1034		159	4.337444900584285%
359 	FT911-4202		160	4.324624765194391%
359 	FT911-4589		161	4.302145904873131%
359 	FT911-3016		162	4.29517449127859%
359 	FT911-2999		163	4.2945616372541%
359 	FT911-2989		164	4.278386509412172%
359 	FT911-1623		165	4.27786487791816%
359 	FT911-3534		166	4.265399312841697%
359 	FT911-5346		167	4.22754373589401%
359 	FT911-511		168	4.217619294627476%
359 	FT911-407		169	4.214985095080107%
359 	FT911-1994		170	4.203175754245832%
359 	FT911-3044		171	4.180778012199128%
359 	FT911-1521		172	4.172234087566522%
359 	FT911-3830		173	4.168144081466746%
359 	FT911-1055		174	4.160570553700574%
359 	FT911-1263		175	4.1444453852407195%
359 	FT911-3546		176	4.129476135447797%
359 	FT911-632		177	4.115365185942378%
359 	FT911-5030		178	4.105400479111421%
359 	FT911-4582		179	4.073631176039749%
359 	FT911-1700		180	4.057834999453829%
359 	FT911-2288		181	4.050515011101511%
359 	FT911-2420		182	4.044022524815021%
359 	FT911-1628		183	4.038223897068356%
359 	FT911-1048		184	4.029156930291875%
359 	FT911-5296		185	4.028924223814238%
359 	FT911-61		186	4.025869658286617%
359 	FT911-2626		187	3.9945654485519%
359 	FT911-1726		188	3.992431131267126%
359 	FT911-1309		189	3.991880455631859%
359 	FT911-1647		190	3.9870419149681937%
359 	FT911-2488		191	3.98511694575229%
359 	FT911-197		192	3.9692521402824554%
359 	FT911-1328		193	3.9632911368719963%
