QUERY 	 DOCUMENT 	 RANK 		 RELEVANCY 	
359 	FT911-4650		1	27.7433865756129%
359 	FT911-428		2	21.0104181878288%
359 	FT911-2712		3	17.616372147579842%
359 	FT911-391		4	15.337202459570479%
359 	FT911-4645		5	15.214497329484283%
359 	FT911-1897		6	14.409738526080378%
359 	FT911-3973		7	13.951527028200662%
359 	FT911-4641		8	13.673367613163206%
359 	FT911-4652		9	13.626223068016516%
359 	FT911-2520		10	12.675750229574092%
359 	FT911-2046		11	12.33430318011449%
359 	FT911-515		12	11.763032520808814%
359 	FT911-4655		13	11.654263213011602%
359 	FT911-4640		14	11.417726649186616%
359 	FT911-1899		15	11.408527754852315%
359 	FT911-548		16	11.261955720310498%
359 	FT911-2711		17	11.21960662749563%
359 	FT911-4656		18	11.153461039287635%
359 	FT911-3917		19	10.975659460997907%
359 	FT911-3000		20	10.883866062891338%
359 	FT911-4283		21	10.831454711685788%
359 	FT911-1265		22	10.60905097152121%
359 	FT911-2342		23	10.600395637008459%
359 	FT911-4648		24	10.438407485645335%
359 	FT911-4575		25	10.346198454986169%
359 	FT911-2983		26	10.341636817754432%
359 	FT911-5129		27	10.29746099978546%
359 	FT911-4649		28	10.052080753249303%
359 	FT911-1517		29	9.834826166474931%
359 	FT911-1211		30	9.801088150142357%
359 	FT911-5231		31	9.730460981098197%
359 	FT911-4569		32	9.526217830968642%
359 	FT911-4644		33	9.47759821894869%
359 	FT911-4647		34	9.393688058103745%
359 	FT911-4679		35	9.207175223006479%
359 	FT911-1369		36	9.133481133289912%
359 	FT911-4642		37	9.111215821874834%
359 	FT911-90		38	9.079703789635154%
359 	FT911-4654		39	8.982594075845075%
359 	FT911-5051		40	8.84039673195441%
359 	FT911-4646		41	8.783021715567054%
359 	FT911-2469		42	8.588382266823375%
359 	FT911-5244		43	8.577586104208253%
359 	FT911-4856		44	8.491270066532614%
359 	FT911-2276		45	8.340348803221476%
359 	FT911-2465		46	8.23560744995826%
359 	FT911-4651		47	8.20237111603039%
359 	FT911-2087		48	8.177574604155001%
359 	FT911-3979		49	8.098762692686641%
359 	FT911-4488		50	8.066093798068982%
359 	FT911-1082		51	7.93230396864954%
359 	FT911-618		52	7.853786099109637%
359 	FT911-1819		53	7.843394716629643%
359 	FT911-4024		54	7.8393996934103205%
359 	FT911-594		55	7.805131939201034%
359 	FT911-2982		56	7.775370027274454%
359 	FT911-4959		57	7.737669703044394%
359 	FT911-5238		58	7.7326322439464095%
359 	FT911-1242		59	7.72119824473016%
359 	FT911-2017		60	7.705519587411394%
359 	FT911-314		61	7.579822972909541%
359 	FT911-4837		62	7.572963821982877%
359 	FT911-2222		63	7.388897874299835%
359 	FT911-3260		64	7.38466106544213%
359 	FT911-1412		65	7.376582977877977%
359 	FT911-202		66	7.315570723351151%
359 	FT911-3494		67	7.256587028502806%
359 	FT911-4206		68	7.234730608508848%
359 	FT911-721		69	7.125478985806098%
359 	FT911-4264		70	7.096590117523273%
359 	FT911-2997		71	7.083465922606737%
359 	FT911-4643		72	6.986672341758204%
359 	FT911-5120		73	6.915012247117502%
359 	FT911-3235		74	6.8862865677176615%
359 	FT911-3191		75	6.881273194774483%
359 	FT911-2923		76	6.772378403134445%
359 	FT911-341		77	6.763969901938588%
359 	FT911-595		78	6.685327905544411%
359 	FT911-559		79	6.5174497066883%
359 	FT911-4319		80	6.51706807580273%
359 	FT911-2219		81	6.476605729197465%
359 	FT911-1282		82	6.461666865187561%
359 	FT911-4722		83	6.299331036259422%
359 	FT911-3242		84	6.299029599592693%
359 	FT911-4288		85	6.286743675044093%
359 	FT911-3149		86	6.283219125614147%
359 	FT911-1542		87	6.260545811423003%
359 	FT911-2672		88	6.242955010488915%
359 	FT911-1294		89	6.1469979971332265%
359 	FT911-4976		90	6.142069002177915%
359 	FT911-4095		91	6.133727892169225%
359 	FT911-3094		92	6.115970937182022%
359 	FT911-3153		93	6.103637696704659%
359 	FT911-3013		94	6.046736400172023%
359 	FT911-3276		95	5.989602725318826%
359 	FT911-3643		96	5.931964341184205%
359 	FT911-5086		97	5.884824582180389%
359 	FT911-4787		98	5.878549799862135%
359 	FT911-5293		99	5.832526819689718%
359 	FT911-5059		100	5.789622426505327%
359 	FT911-2637		101	5.765921072684597%
359 	FT911-2117		102	5.727588445404668%
359 	FT911-1995		103	5.706648907354051%
359 	FT911-1944		104	5.66893021954342%
359 	FT911-4176		105	5.650635297828289%
359 	FT911-2343		106	5.625876154106086%
